1-Jun,84,66,1.24
2-Jun,84,66,1.19
3-Jun,73.9,68,1.93
4-Jun,82.9,68,0
5-Jun,84,66,0
6-Jun,84.9,63,0
7-Jun,84.9,64,0
8-Jun,91,64.9,0
9-Jun,91.9,69.1,0
10-Jun,91,73,0
11-Jun,91,73.9,0
12-Jun,89.1,71.1,0.42
13-Jun,87.1,73.9,0.05
14-Jun,88,72,0.49
15-Jun,90,73,0
16-Jun,93,77,0
17-Jun,95,75.9,0
18-Jun,95,75.9,0
19-Jun,95,75.9,0
20-Jun,91.9,75.9,0
21-Jun,91.9,75,0
22-Jun,96.1,77,0
23-Jun,95,78.1,0
24-Jun,93.9,77,0
25-Jun,93.9,77,0
26-Jun,95,78.1,0
27-Jun,95,75.9,0
28-Jun,96.1,75,0
29-Jun,95,71.1,0
30-Jun,93,73,0
1-Jul,95,73,0
2-Jul,96.1,73.9,0
3-Jul,96.1,79,0
4-Jul,97,71.1,0.55
5-Jul,93,72,0
6-Jul,93,78.1,0
7-Jul,96.1,78.1,0
8-Jul,97,78.1,0
9-Jul,96.1,78.1,0
10-Jul,91.9,68,0
11-Jul,93,73.9,0.59
12-Jul,95,77,0
13-Jul,95,77,0
14-Jul,97,79,0
15-Jul,96.1,72,0.18
16-Jul,88,66.9,1.53
17-Jul,95,73,0
18-Jul,93.9,78.1,0
19-Jul,93,77,0
20-Jul,95,78.1,0
21-Jul,95,79,0
22-Jul,97,79,0
23-Jul,98.1,79,0
24-Jul,99,80.1,0
25-Jul,98.1,80.1,0
26-Jul,97,73.9,0.03
27-Jul,95,75,0
28-Jul,93.9,73,0.56
29-Jul,95,77,0
30-Jul,93.9,77,0
31-Jul,97,79,0
1-Aug,97,79,0
2-Aug,98.1,77,0
3-Aug,100,77,0
4-Aug,100.9,80.1,0
5-Aug,99,80.1,0
6-Aug,99,80.1,0
7-Aug,100,79,0
8-Aug,100.9,79,0
9-Aug,100.9,81,0
10-Aug,98.1,82,0
11-Aug,100,82,0
12-Aug,102,82.9,0
13-Aug,104,75.9,0.14
14-Aug,91,70,0
15-Aug,70,70,0
16-Aug,81,66,0.04
17-Aug,84.9,66,0
18-Aug,84.9,73.9,0
19-Aug,84.9,73,0.92
20-Aug,84.9,68,3.38
21-Aug,82,68,0.35
22-Aug,86,69.1,0
23-Aug,89.1,71.1,0.26
24-Aug,91.9,73.9,0
25-Aug,93,73.9,0
26-Aug,93.9,75,0
27-Aug,88,73,0.11
28-Aug,90,70,0
29-Aug,90,70,0
30-Aug,90,70,0.36
31-Aug,91,72,0
1-Sep,93,73,0
2-Sep,86,70,0.04
3-Sep,86,69.1,0
4-Sep,87.1,69.1,0
5-Sep,91,71.1,0
6-Sep,91.9,72,0
7-Sep,91.9,75,0
8-Sep,93,77,0
9-Sep,95,75.9,0
10-Sep,95,66.9,0.27
11-Sep,81,61,0.1
12-Sep,84.9,61,0
13-Sep,90,68,0
14-Sep,90,71.1,0.64
15-Sep,89.1,73,0.04
16-Sep,91,72,0
17-Sep,91,71.1,0
18-Sep,93,68,0.26
19-Sep,93.9,68,0
20-Sep,97,77,0
21-Sep,95,75,0
22-Sep,75,69.1,0
23-Sep,91.9,70,0
24-Sep,93,75.9,0
25-Sep,100.9,71.1,0.58
26-Sep,75,64,0
27-Sep,66.9,57.9,0
28-Sep,75,55.9,0
29-Sep,88,55.9,0
30-Sep,73.9,55,0
