1-Sep,93,73,0
2-Sep,86,70,0.04
3-Sep,86,69.1,0
4-Sep,87.1,69.1,0
5-Sep,91,71.1,0
6-Sep,91.9,72,0
7-Sep,91.9,75,0
8-Sep,93,77,0
9-Sep,95,75.9,0
10-Sep,95,66.9,0.27
11-Sep,81,61,0.1
12-Sep,84.9,61,0
13-Sep,90,68,0
14-Sep,90,71.1,0.64
15-Sep,89.1,73,0.04
16-Sep,91,72,0
17-Sep,91,71.1,0
18-Sep,93,68,0.26
19-Sep,93.9,68,0
20-Sep,97,77,0
21-Sep,95,75,0
22-Sep,75,69.1,0
23-Sep,91.9,70,0
24-Sep,93,75.9,0
25-Sep,100.9,71.1,0.58
26-Sep,75,64,0
27-Sep,66.9,57.9,0
28-Sep,75,55.9,0
29-Sep,88,55.9,0
30-Sep,73.9,55,0
